pid,name,username,num_ctx_switches,memory_info,cpu_percent,memory_percent,nice,create_time,utime,stime,cutime,cstime
289,FindMyMacd,root,"pctxsw(voluntary=140475495350346, involuntary=0)","pmem(rss=1630208, vms=34466066432, pfaults=1109, pageins=6)",0.0,0.018978118896484375,0,1681222247.05835,0.007224049,0.011999624,0.0,0.0
290,mDNSResponderHelper,root,"pctxsw(voluntary=140475495352658, involuntary=0)","pmem(rss=3244032, vms=34497683456, pfaults=3620, pageins=2)",0.0,0.0377655029296875,0,1681222247.065755,0.1523176,0.05723112,0.0,0.0
291,distnoted,_cmiodalassistants,"pctxsw(voluntary=140475495351740, involuntary=0)","pmem(rss=1101824, vms=34437611520, pfaults=1632, pageins=4)",0.0,0.012826919555664062,0,1681222247.46085,0.048304808,0.033140364,0.0,0.0
292,sysextd,root,"pctxsw(voluntary=140475495350892, involuntary=0)","pmem(rss=2990080, vms=34498703360, pfaults=2342, pageins=20)",0.0,0.034809112548828125,0,1681222247.492306,0.052256428,0.030406632,0.0,0.0
293,AudioComponentRegistrar,root,"pctxsw(voluntary=140475495350746, involuntary=0)","pmem(rss=2555904, vms=34466500608, pfaults=2186, pageins=10)",0.0,0.029754638671875,0,1681222247.544877,0.053544836,0.028413576,0.0,0.0
294,com.apple.CodeSigningHelper,root,"pctxsw(voluntary=140475495353132, involuntary=0)","pmem(rss=2666496, vms=34466963456, pfaults=5031, pageins=2)",0.0,0.031042098999023438,0,1681222247.620907,0.191103808,0.318288544,0.0,0.0
295,com.apple.audio.SandboxHelper,_coreaudiod,"pctxsw(voluntary=140475495350344, involuntary=0)","pmem(rss=2539520, vms=34468868096, pfaults=2057, pageins=2)",0.0,0.02956390380859375,0,1681222247.632992,0.03927248,0.015121954,0.0,0.0
297,com.apple.audio.DriverHelper,_coreaudiod,"pctxsw(voluntary=140475495350366, involuntary=0)","pmem(rss=1253376, vms=34458034176, pfaults=1017, pageins=2)",0.0,0.014591217041015625,0,1681222247.735151,0.007363555,0.011838833,0.0,0.0
298,audioclocksyncd,root,"pctxsw(voluntary=140475495367108, involuntary=0)","pmem(rss=1929216, vms=34972545024, pfaults=2577, pageins=26)",0.0,0.022459030151367188,0,1681222247.805738,0.372945984,0.372594496,0.0,0.0
299,WiFiCloudAssetsXPCService,root,"pctxsw(voluntary=140475495350411, involuntary=0)","pmem(rss=4464640, vms=34466701312, pfaults=1956, pageins=14)",0.0,0.051975250244140625,0,1681222247.876117,0.014211048,0.01891174,0.0,0.0
300,distnoted,_locationd,"pctxsw(voluntary=140475495351761, involuntary=0)","pmem(rss=1216512, vms=34437611520, pfaults=1643, pageins=4)",0.0,0.014162063598632812,0,1681222247.969224,0.054827016,0.033519214,0.0,0.0
301,com.apple.geod,_locationd,"pctxsw(voluntary=140475495353255, involuntary=0)","pmem(rss=9400320, vms=34505625600, pfaults=7349, pageins=296)",0.0,0.10943412780761719,0,1681222248.013659,0.134232304,0.262593456,0.0,0.0
302,secinitd,_locationd,"pctxsw(voluntary=140475495350625, involuntary=0)","pmem(rss=2764800, vms=34497904640, pfaults=2317, pageins=6)",0.0,0.03218650817871094,0,1681222248.044173,0.0416785,0.023181806,0.0,0.0
304,cfprefsd,_locationd,"pctxsw(voluntary=140475495350607, involuntary=0)","pmem(rss=1183744, vms=34466443264, pfaults=1710, pageins=2)",0.0,0.013780593872070312,0,1681222248.112764,0.044484092,0.014585214,0.0,0.0
305,UVCAssistant,_cmiodalassistants,"pctxsw(voluntary=140475495351182, involuntary=0)","pmem(rss=4128768, vms=34500194304, pfaults=3406, pageins=57)",0.0,0.048065185546875,0,1681222248.117145,0.055467664,0.051056056,0.0,0.0
306,trustd,_locationd,"pctxsw(voluntary=140475495352414, involuntary=0)","pmem(rss=3559424, vms=34500550656, pfaults=4203, pageins=17)",0.0,0.04143714904785156,0,1681222248.142645,0.215984176,0.058994152,0.0,0.0
307,containermanagerd,_locationd,"pctxsw(voluntary=140475495350582, involuntary=0)","pmem(rss=2228224, vms=34496909312, pfaults=2131, pageins=3)",0.0,0.02593994140625,0,1681222248.266214,0.050606764,0.016612903,0.0,0.0
308,systemstatusd,root,"pctxsw(voluntary=140475495351094, involuntary=0)","pmem(rss=3039232, vms=34496372736, pfaults=4246, pageins=12)",0.0,0.035381317138671875,0,1681222248.374585,0.07165992,0.044040928,0.0,0.0
