pid,name,username,cpu_percent,memory_percent,utime,stime,cutime,cstime
859,MTLCompilerService,root,0.0,0.10972023010253906,0.204382944,0.471863104,0.0,0.0
860,GroupSessionService,jachian,0.0,0.09016990661621094,0.061094288,0.03980378,0.0,0.0
866,mscamerad-xpc,jachian,0.0,0.0244140625,0.016738958,0.031243336,0.0,0.0
871,ptpcamerad,jachian,0.0,0.024557113647460938,0.05052754,0.028723764,0.0,0.0
879,findmydevice-user-agent,jachian,0.0,0.06318092346191406,0.133171592,0.116851752,0.0,0.0
889,siriknowledged,jachian,0.0,0.13914108276367188,49.247203328,9.241997312,0.0,0.0
890,rtcreportingd,root,0.0,0.0728607177734375,8.700126208,4.477705216,0.0,0.0
896,DropboxActivityProvider,jachian,0.0,0.09002685546875,0.531413504,0.53194816,0.0,0.0
900,AppleSpell,jachian,0.0,1.6132354736328125,3.63133312,4.522860032,0.0,0.0
901,naturallanguaged,jachian,0.0,0.13036727905273438,0.374776288,0.483500416,0.0,0.0
902,keyboardservicesd,jachian,0.0,0.07481575012207031,0.086175376,0.113414208,0.0,0.0
914,m,jachian,0.0,0.10633468627929688,0.866002304,0.843367424,0.0,0.0
924,SiriNCService,jachian,0.0,0.13680458068847656,3.26820864,1.730188544,0.0,0.0
962,diagnosticextensionsd,jachian,0.0,0.06380081176757812,0.068591624,0.067922848,0.0,0.0
965,iconservicesagent,root,0.0,0.031280517578125,0.036463348,0.024671834,0.0,0.0
982,distnoted,nobody,0.0,0.012493133544921875,0.167906416,0.224996048,0.0,0.0
1039,ReportCrash,root,0.0,0.030994415283203125,0.011071108,0.021375894,0.0,0.0
1044,distnoted,_trustd,0.0,0.012540817260742188,0.162529936,0.21383544,0.0,0.0
1045,distnoted,_assetcache,0.0,0.012540817260742188,0.156655616,0.211666816,0.0,0.0
1064,fairplayd,_fpsd,0.0,0.023126602172851562,0.026394094,0.112861392,0.0,0.0
1073,symptomsd-diag,root,0.0,0.05564689636230469,0.14078736,0.180698064,0.0,0.0
1075,CAReportingService,root,0.0,0.050067901611328125,0.772994432,0.921516288,0.0,0.0
1082,nfcd,_applepay,0.0,0.03719329833984375,0.048658748,0.057803376,0.0,0.0
1158,linkd,jachian,0.0,0.070953369140625,0.571573504,0.437087744,0.0,0.0
1242,UniversalControl,jachian,0.0,0.14066696166992188,35.9230464,36.22889472,0.0,0.0
1243,biomesyncd,jachian,0.0,0.060272216796875,2.051597952,0.79197984,0.0,0.0
1245,distnoted,_gamecontrollerd,0.0,0.0125885009765625,0.158518352,0.212675664,0.0,0.0
1246,com.apple.MobileSoftwareUpdate.CleanupPreparePathService,root,0.0,0.03628730773925781,0.03101413,0.123482352,0.0,0.0
1258,package_script_service,root,0.0,0.034236907958984375,0.051047048,0.054111152,0.0,0.0
1276,sysmond,root,0.0,0.011730194091796875,1.152757632,2.279271936,0.0,0.0
1289,photoanalysisd,jachian,0.0,0.20132064819335938,435.281985536,116.603568128,0.0,0.0
1290,remotemanagementd,_rmd,0.0,0.04591941833496094,0.103373312,0.124828384,0.0,0.0
1305,online-authd,root,0.0,0.010776519775390625,0.012225803,0.03992048,0.0,0.0
1315,MTLAssetUpgraderD,jachian,0.0,0.06661415100097656,0.265470048,0.1463584,0.0,0.0
1320,cloudphotod,jachian,0.0,0.08916854858398438,2.301029888,0.929398976,0.0,0.0
1325,DiskUnmountWatcher,jachian,0.0,0.012350082397460938,0.006404982,0.013477491,0.0,0.0
1328,crashpad_handler,jachian,0.0,0.02536773681640625,0.014675959,0.037427648,0.0,0.0
1384,crashpad_handler,jachian,0.0,0.025177001953125,0.013319207,0.034870336,0.0,0.0
1385,Google Drive,jachian,0.0,0.3688812255859375,9.583625216,6.550650368,0.0,0.0
1394,mdbulkimport,jachian,0.0,0.1277446746826172,2.851036672,1.870918272,0.0,0.0
1401,Google Drive Helper (GPU),jachian,0.0,0.19807815551757812,0.477097792,0.358790048,0.0,0.0
1404,Google Drive Helper,jachian,0.0,0.12369155883789062,0.112734088,0.070954592,0.0,0.0
1405,Google Drive Helper,jachian,0.0,0.13175010681152344,0.133858512,0.141533856,0.0,0.0
1406,Google Drive Helper (Renderer),jachian,0.0,0.13709068298339844,0.108493408,0.076447008,0.0,0.0
1407,Google Drive Helper (Renderer),jachian,0.0,0.25734901428222656,0.396270688,0.347242016,0.0,0.0
1412,FinderSyncExtension,jachian,0.0,0.10561943054199219,0.950431296,0.623153344,0.0,0.0
1416,VTDecoderXPCService,jachian,0.0,0.04372596740722656,0.094251104,0.045716016,0.0,0.0
1417,mscamerad-xpc,jachian,0.0,0.024175643920898438,0.013936565,0.023343592,0.0,0.0
1482,com.apple.audio.ComponentTagHelper,jachian,0.0,0.016927719116210938,0.017847072,0.027953492,0.0,0.0
1485,distnoted,_accessoryupdater,0.0,0.012540817260742188,0.15758528,0.204721328,0.0,0.0
1499,CategoriesService,jachian,0.0,0.06442070007324219,0.286979168,0.332826944,0.0,0.0
1500,Safari,jachian,0.0,1.2226104736328125,342.41921024,117.642960896,0.0,0.0
1501,com.apple.Safari.History,jachian,0.0,0.08697509765625,27.045285888,4.407790592,0.0,0.0
1502,MTLCompilerService,jachian,0.0,0.10943412780761719,0.113842392,0.062209228,0.0,0.0
1504,com.apple.accessibility.mediaaccessibilityd,jachian,0.0,0.017642974853515625,0.052145732,0.049501196,0.0,0.0
1505,com.apple.WebKit.Networking,jachian,0.0,0.2741813659667969,132.520083456,78.503641088,0.0,0.0
1506,com.apple.audio.SandboxHelper,jachian,0.0,0.028514862060546875,0.04163286,0.013900068,0.0,0.0
1507,SafariBookmarksSyncAgent,jachian,0.0,0.20728111267089844,11.782325248,5.635575296,0.0,0.0
1508,translationd,jachian,0.0,0.07915496826171875,6.862426624,1.285281536,0.0,0.0
1509,PasswordBreachAgent,jachian,0.0,0.08187294006347656,0.155081792,0.198880768,0.0,0.0
1510,SafariLaunchAgent,jachian,0.0,0.14901161193847656,0.050797408,0.042906732,0.0,0.0
1511,com.apple.Safari.SandboxBroker,jachian,0.0,0.21848678588867188,0.507908,0.522467424,0.0,0.0
1513,webinspectord,jachian,0.0,0.042057037353515625,0.727783744,0.479149184,0.0,0.0
